Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (UFC Champion),def.,Dan Henderson (Pride Champion),Submission (rear-naked choke),2,4:52
Heavyweight,Heath Herring,def.,Cheick Kongo,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Chris Leben,def.,Alessio Sakara,TKO (punches),1,3:16
Middleweight,Yushin Okami,def.,Evan Tanner,KO (knee),2,3:00
Welterweight,Jon Fitch,def.,Chris Wilson,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Heavyweight,Andrei Arlovski,def.,Jake O'Brien,TKO (punches),2,4:17
Welterweight,Josh Koscheck,def.,Dustin Hazelett,TKO (head kick and punches),2,1:24
Welterweight,Diego Sanchez,def.,David Bielkheden,Submission (strikes),1,4:43
Welterweight,Luigi Fioravanti,def.,Luke Cummo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Jorge Gurgel,def.,John Halverson,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
