Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Nate Diaz,def.,Josh Neer,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Clay Guida,def.,Mac Danzig,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Middleweight,Alan Belcher,def.,Ed Herman,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Eric Schafer,def.,Houston Alexander,Submission (arm-triangle choke),1,4:53
Middleweight,Alessio Sakara,def.,Joe Vedepo,KO (head kick),1,1:27
Middleweight,Wilson Gouveia,def.,Ryan Jensen,Submission (armbar),2,2:04
Lightweight,Joe Lauzon,def.,Kyle Bradley,TKO (punches),2,1:34
Light Heavyweight,Jason Brilz,def.,Brad Morris,TKO (punches),2,2:54
Middleweight,Mike Massenzio,def.,Drew McFedries,Submission (kimura),1,1:28
Middleweight,Dan Miller,def.,Rob Kimmons,Submission (rear-naked choke),1,1:27
