Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Bantamweight,Renan Barão (ic),def.,Michael McDonald,Submission (arm-triangle choke),4,3:57
Featherweight,Cub Swanson,def.,Dustin Poirier,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Light Heavyweight,Jimi Manuwa,def.,Cyrille Diabaté,TKO (retirement),1,5:00
Welterweight,Gunnar Nelson,def.,Jorge Santiago,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Light Heavyweight,James Te Huna,def.,Ryan Jimmo,"Decision (unanimous) (29–27, 29–28, 29–28)",3,5:00
Welterweight,Matthew Riddle,vs.,Che Mills,No Contest,3,5:00
Lightweight,Renée Forte,def.,Terry Etim,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Danny Castillo,def.,Paul Sass,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Featherweight,Andy Ogle,def.,Josh Grispi,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Middleweight,Tom Watson,def.,Stanislav Nedkov,TKO (knees & punches),2,4:42
Bantamweight,Vaughan Lee,def.,Motonobu Tezuka,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Phil Harris,def.,Ulysses Gomez,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
