Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones (c),def.,Chael Sonnen,TKO (punches and elbows),1,4:33
Middleweight,Michael Bisping,def.,Alan Belcher,"Technical Decision (unanimous) (30–27, 30–27, 29–28)",3,4:29
Heavyweight,Roy Nelson,def.,Cheick Kongo,KO (punches),1,2:03
Light Heavyweight,Phil Davis,def.,Vinny Magalhaes,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Pat Healy,vs.,Jim Miller,No Contest,3,4:02
Lightweight,Rustam Khabilov,def.,Yancy Medeiros,TKO (thumb injury),1,2:32
Light Heavyweight,Ovince Saint Preux,def.,Gian Villante,"Technical Decision (majority) (30–28, 30–29, 29–29)",3,0:33
Women's Bantamweight,Sara McMann,def.,Sheila Gaff,TKO (punches),1,4:06
Bantamweight,Bryan Caraway,def.,Johnny Bedford,Submission (guillotine choke),3,4:44
Featherweight,Cody McKenzie,def.,Leonard Garcia,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Featherweight,Steven Siler,def.,Kurt Holobaugh,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
