Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Rafael dos Anjos,def.,Benson Henderson,KO (flying knee and punch),1,2:31
Welterweight,Jordan Mein,def.,Mike Pyle,TKO (punches),1,1:12
Middleweight,Thales Leites,def.,Francis Carmont,KO (punches),2,0:20
Catchweight (149 lbs),Max Holloway,def.,Clay Collard,TKO (punches),3,3:47
Lightweight,James Vick,def.,Valmir Lazaro,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Featherweight,Chas Skelly,def.,Tom Niinimäki,Submission (rear-naked choke),1,2:35
Welterweight,Neil Magny,def.,Alex Garcia,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Lightweight,Beneil Dariush,def.,Tony Martin,Submission (arm-triangle choke),2,3:38
Bantamweight,Matt Hobar,def.,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Ben Saunders,def.,Chris Heatherly,Submission (omoplata),1,2:18
Flyweight,Wilson Reis,def.,Joby Sanchez,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
