Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Junior dos Santos,def.,Stipe Miocic,"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00
Catchweight (160.6 lbs),Rafael dos Anjos,def.,Nate Diaz,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00
Heavyweight,Alistair Overeem,def.,Stefan Struve,KO (punches),1,4:13
Heavyweight,Matt Mitrione,def.,Gabriel Gonzaga,TKO (punches),1,1:59
Women's Strawweight,Joanna Jędrzejczyk,def.,Cláudia Gadelha,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Flyweight,John Moraga,def.,Willie Gates,Submission (rear-naked choke),3,4:06
Welterweight,Ben Saunders,def.,Joe Riggs,TKO (neck injury),1,0:58
Lightweight,Drew Dober,def.,Jamie Varner,Submission (rear-naked choke),1,1:52
Lightweight,Bryan Barberena,def.,Joe Ellenberger,TKO (elbows and punches),3,3:24
Lightweight,David Michaud,def.,Garett Whiteley,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Bantamweight,Henry Cejudo,def.,Dustin Kimura,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Ian Entwistle,def.,Anthony Birchak,Submission (heel hook),1,1:04
