Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Michael Bisping (c),def.,Dan Henderson,"Decision (unanimous) (48–47, 48–47, 49–46)",5,5:00
Middleweight,Gegard Mousasi,def.,Vitor Belfort,TKO (head kick and punches),2,2:43
Light Heavyweight,Jimi Manuwa,def.,Ovince Saint Preux,KO (punch),2,2:38
Heavyweight,Stefan Struve,def.,Daniel Omielańczuk,Submission (D'Arce choke),2,1:41
Featherweight,Mirsad Bektić,def.,Russell Doane,Submission (rear-naked choke),1,4:22
Bantamweight,Iuri Alcântara,def.,Brad Pickett,Submission (triangle choke),1,1:59
Bantamweight,Damian Stasiak,def.,Davey Grant,Submission (armbar),3,3:56
Welterweight,Leon Edwards,def.,Albert Tumenov,Submission (rear-naked choke),3,3:01
Lightweight,Marc Diakiese,def.,Łukasz Sajewski,TKO (knees and punches),2,4:40
Welterweight,Mike Perry,def.,Danny Roberts,KO (knee and punches),3,4:40
Lightweight,Leonardo Santos,def.,Adriano Martins,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
