Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Tony Ferguson,def.,Rafael dos Anjos,"Decision  (unanimous) (48–47, 48–47, 48–47)",5,5:00
Lightweight,Diego Sanchez,def.,Marcin Held,"Decision  (unanimous) (29–28, 29–28, 29–27)",3,5:00
Catchweight (155 lbs),Ricardo Lamas,def.,Charles Oliveira,Submission  (guillotine choke),2,2:13
Lightweight,Martín Bravo,def.,Claudio Puelles,TKO (punches),2,1:55
Lightweight,Beneil Dariush,def.,Rashid Magomedov,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Women's Strawweight,Alexa Grasso,def.,Heather Jo Clark,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Catchweight (138 lbs),Érik Pérez,def.,Felipe Arantes,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Catchweight (140 lbs),Joe Soto,def.,Marco Beltrán,Submission (heel hook),1,1:37
Welterweight,Max Griffin,def.,Erick Montaño,TKO (punches),1,0:54
Bantamweight,Douglas Silva de Andrade,def.,Henry Briones,TKO (elbow and spinning back fist),3,2:33
Middleweight,Sam Alvey,def.,Alex Nicholson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Polo Reyes,def.,Jason Novelli,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Enrique Barzola,def.,Chris Avila,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
