Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Holly Holm,def.,Bethe Correia,KO (head kick and punch),3,1:09
Heavyweight,Marcin Tybura,def.,Andrei Arlovski,"Decision (unanimous) (29–28, 28–27, 29–27)",3,5:00
Welterweight,Colby Covington,def.,Dong Hyun Kim,"Decision (unanimous) (30–25, 30–26, 30–27)",3,5:00
Welterweight,Rafael dos Anjos,def.,Tarec Saffiedine,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Jon Tuck,def.,Takanori Gomi,Submission (rear-naked choke),1,1:12
Heavyweight,Walt Harris,def.,Cyril Asker,TKO (punches and elbows),1,1:44
Featherweight,Alex Caceres,def.,Rolando Dy,TKO (doctor stoppage),2,5:00
Flyweight,Ulka Sasaki,def.,Justin Scoggins,Submission (rear-naked choke),2,3:19
Welterweight,Li Jingliang,def.,Frank Camacho,"Decision (unanimous) (29–27, 28–27, 29–27)",3,5:00
Bantamweight,Russell Doane,def.,Kwan Ho Kwak,KO (punches),1,4:09
Catchweight (131 lbs),Naoki Inoue,def.,Carls John de Tomas,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Women's Bantamweight,Lucie Pudilová,def.,Ji Yeon Kim,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
