Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Amanda Nunes (c),def.,Raquel Pennington,TKO (punches),5,2:36
Middleweight,Kelvin Gastelum,def.,Ronaldo Souza,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Catchweight (123 lbs),Mackenzie Dern,def.,Amanda Cooper,Submission (rear-naked choke),1,2:27
Bantamweight,John Lineker,def.,Brian Kelleher,KO (punch),3,3:43
Middleweight,Lyoto Machida,def.,Vitor Belfort,KO (front kick),2,1:00
Middleweight,Cezar Ferreira,def.,Karl Roberson,Technical Submission (arm-triangle choke),1,4:45
Heavyweight,Aleksei Oleinik,def.,Júnior Albini,Submission (Ezekiel choke),1,1:45
Lightweight,Davi Ramos,def.,Nick Hein,Submission (rear-naked choke),1,4:15
Welterweight,Elizeu Zaleski dos Santos,def.,Sean Strickland,KO (spinning wheel kick and punches),1,3:40
Welterweight,Warlley Alves,def.,Sultan Aliev,TKO (doctor stoppage),2,5:00
Middleweight,Jack Hermansson,def.,Thales Leites,TKO (punches),3,2:10
Welterweight,Ramazan Emeev,def.,Alberto Mina,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Markus Perez Echeimberg,def.,James Bochnovic,Submission (rear-naked choke),1,4:28
