Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Israel Adesanya,def.,Brad Tavares,"Decision (unanimous) (49–46, 50–45, 50–45)",5,5:00
Lightweight,Michael Trizano,def.,Joe Giannetti,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Brad Katona,def.,Jay Cucciniello,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Featherweight,Alex Caceres,def.,Martín Bravo,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Flyweight,Roxanne Modafferi,def.,Barb Honchak,TKO (elbows),2,3:32
Catchweight (190 lbs),Alessio Di Chirico,def.,Julian Marquez,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Women's Flyweight,Montana De La Rosa,def.,Rachael Ostovich,Submission (rear-naked choke),3,4:21
Lightweight,Luis Peña,def.,Richie Smullen,Submission (guillotine choke),1,3:32
Lightweight,John Gunther,def.,Allan Zuñiga,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Featherweight,Bryce Mitchell,def.,Tyler Diamond,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Featherweight,Steven Peterson,def.,Matt Bessette,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Gerald Meerschaert,def.,Oskar Piechota,Technical Submission (rear-naked choke),2,4:55
