Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Conor McGregor,def.,Donald Cerrone,TKO (head kick and punches),1,0:40
Women's Bantamweight,Holly Holm,def.,Raquel Pennington,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Heavyweight,Aleksei Oleinik,def.,Maurice Greene,Submission (armbar),2,4:38
Bantamweight,Brian Kelleher,def.,Ode Osbourne,Submission (guillotine choke),1,2:49
Lightweight,Carlos Diego Ferreira,def.,Anthony Pettis,Submission (rear-naked choke),2,1:46
Women's Flyweight,Roxanne Modafferi,def.,Maycee Barber,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Featherweight,Sodiq Yusuff,def.,Andre Fili,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Flyweight,Askar Askarov,def.,Tim Elliott,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Lightweight,Drew Dober,def.,Nasrat Haqparast,TKO (punches),1,1:10
Light Heavyweight,Aleksa Camur,def.,Justin Ledet,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Women's Flyweight,Sabina Mazo,def.,JJ Aldrich,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
