Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,José Aldo (c),vs.,Chad Mendes,,,
Middleweight,Ronaldo Souza,vs.,Gegard Mousasi,,,
Lightweight,Gray Maynard,vs.,Fabrício Camões,,,
Women's Bantamweight,Bethe Correia,vs.,Shayna Baszler,,,
Flyweight,Jussier Formiga,vs.,Zach Makovsky,,,
Lightweight,James Vick,vs.,Valmir Lazaro,,,
Middleweight,Lorenz Larkin,vs.,Derek Brunson,,,
Lightweight,Bobby Green,vs.,Abel Trujillo,,,
Lightweight,Tony Ferguson,vs.,Danny Castillo,,,
Lightweight,Beneil Dariush,vs.,Tony Martin,,,
Welterweight,Alex Garcia,vs.,Matt Dwyer,,,
