Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones (c),vs,Dan Henderson,,,
Welterweight,Jake Ellenberger,vs,Jay Hieron,,,
Featherweight,Dennis Siver,vs,Eddie Yagin,,,
Lightweight,Dennis Hallman,vs,Thiago Tavares,,,
Flyweight,John Lineker,vs,Yasuhiro Urushitani,,,
Lightweight,Michael Johnson,vs,Danny Castillo,,,
Bantamweight,Takeya Mizugaki,vs,Jeff Hougland,,,
Lightweight,Tim Means,vs,Abel Trujillo,,,
Lightweight,Daron Cruickshank,vs,Henry Martinez,,,
Lightweight,Shane Roller,vs,Jacob Volkmann,,,
Welterweight,Kyle Noke,vs,Charlie Brenneman,,,
