Number,WikiLink,Name,Date
509,/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,UFC Fight Night: Anderson vs. Błachowicz 2,"Feb 15, 2020"
508,/wiki/UFC_247,UFC 247: Jones vs. Reyes,"Feb 8, 2020"
507,/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,UFC Fight Night: Blaydes vs. dos Santos,"Jan 25, 2020"
506,/wiki/UFC_246,UFC 246: McGregor vs. Cowboy,"Jan 18, 2020"
505,/wiki/UFC_Fight_Night:_Edgar_vs._The_Korean_Zombie,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec 21, 2019"
504,/wiki/UFC_245,UFC 245: Usman vs. Covington,"Dec 14, 2019"
503,/wiki/UFC_on_ESPN:_Overeem_vs._Rozenstruik,UFC on ESPN: Overeem vs. Rozenstruik,"Dec 7, 2019"
502,/wiki/UFC_Fight_Night:_B%C5%82achowicz_vs._Jacar%C3%A9,UFC Fight Night: Błachowicz vs. Jacaré,"Nov 16, 2019"
501,/wiki/UFC_Fight_Night:_Zabit_vs._Kattar,UFC Fight Night: Zabit vs. Kattar,"Nov 9, 2019"
500,/wiki/UFC_244,UFC 244: Masvidal vs. Diaz,"Nov 2, 2019"
499,/wiki/UFC_Fight_Night:_Maia_vs._Askren,UFC Fight Night: Maia vs. Askren,"Oct 26, 2019"
498,/wiki/UFC_on_ESPN:_Reyes_vs._Weidman,UFC on ESPN: Reyes vs. Weidman,"Oct 18, 2019"
497,/wiki/UFC_Fight_Night:_Joanna_vs._Waterson,UFC Fight Night: Joanna vs. Waterson,"Oct 12, 2019"
496,/wiki/UFC_243,UFC 243: Whittaker vs. Adesanya,"Oct 5, 2019"
495,/wiki/UFC_Fight_Night:_Hermansson_vs._Cannonier,UFC Fight Night: Hermansson vs. Cannonier,"Sep 28, 2019"
494,/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Stephens,UFC Fight Night: Rodríguez vs. Stephens,"Sep 21, 2019"
493,/wiki/UFC_Fight_Night:_Cowboy_vs._Gaethje,UFC Fight Night: Cowboy vs. Gaethje,"Sep 14, 2019"
492,/wiki/UFC_242,UFC 242: Khabib vs. Poirier,"Sep 7, 2019"
491,/wiki/UFC_Fight_Night:_Andrade_vs._Zhang,UFC Fight Night: Andrade vs. Zhang,"Aug 31, 2019"
490,/wiki/UFC_241,UFC 241: Cormier vs. Miocic 2,"Aug 17, 2019"
489,/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2,UFC Fight Night: Shevchenko vs. Carmouche 2,"Aug 10, 2019"
488,/wiki/UFC_on_ESPN:_Covington_vs._Lawler,UFC on ESPN: Covington vs. Lawler,"Aug 3, 2019"
487,/wiki/UFC_240,UFC 240: Holloway vs. Edgar,"Jul 27, 2019"
486,/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards,UFC on ESPN: dos Anjos vs. Edwards,"Jul 20, 2019"
485,/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd,UFC Fight Night: de Randamie vs. Ladd,"Jul 13, 2019"
484,/wiki/UFC_239,UFC 239: Jones vs. Santos,"Jul 6, 2019"
483,/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos,UFC on ESPN: Ngannou vs. dos Santos,"Jun 29, 2019"
482,/wiki/UFC_Fight_Night:_Moicano_vs._The_Korean_Zombie,UFC Fight Night: Moicano vs. The Korean Zombie,"Jun 22, 2019"
481,/wiki/UFC_238,UFC 238: Cejudo vs. Moraes,"Jun 8, 2019"
480,/wiki/UFC_Fight_Night:_Gustafsson_vs._Smith,UFC Fight Night: Gustafsson vs. Smith,"Jun 1, 2019"
479,/wiki/UFC_Fight_Night:_dos_Anjos_vs._Lee,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019"
478,/wiki/UFC_237,UFC 237: Namajunas vs. Andrade,"May 11, 2019"
477,/wiki/UFC_Fight_Night:_Iaquinta_vs._Cowboy,UFC Fight Night: Iaquinta vs. Cowboy,"May 4, 2019"
476,/wiki/UFC_Fight_Night:_Jacar%C3%A9_vs._Hermansson,UFC Fight Night: Jacaré vs. Hermansson,"Apr 27, 2019"
475,/wiki/UFC_Fight_Night:_Overeem_vs._Oleinik,UFC Fight Night: Overeem vs. Oleinik,"Apr 20, 2019"
474,/wiki/UFC_236,UFC 236: Holloway vs. Poirier 2,"Apr 13, 2019"
473,/wiki/UFC_on_ESPN:_Barboza_vs._Gaethje,UFC on ESPN: Barboza vs. Gaethje,"Mar 30, 2019"
472,/wiki/UFC_Fight_Night:_Thompson_vs._Pettis,UFC Fight Night: Thompson vs. Pettis,"Mar 23, 2019"
471,/wiki/UFC_Fight_Night:_Till_vs._Masvidal,UFC Fight Night: Till vs. Masvidal,"Mar 16, 2019"
470,/wiki/UFC_Fight_Night:_Lewis_vs._dos_Santos,UFC Fight Night: Lewis vs. dos Santos,"Mar 9, 2019"
469,/wiki/UFC_235,UFC 235: Jones vs. Smith,"Mar 2, 2019"
468,/wiki/UFC_Fight_Night:_B%C5%82achowicz_vs._Santos,UFC Fight Night: Błachowicz vs. Santos,"Feb 23, 2019"
467,/wiki/UFC_on_ESPN:_Ngannou_vs._Velasquez,UFC on ESPN: Ngannou vs. Velasquez,"Feb 17, 2019"
466,/wiki/UFC_234,UFC 234: Adesanya vs. Silva,"Feb 10, 2019"
465,/wiki/UFC_Fight_Night:_Assun%C3%A7%C3%A3o_vs._Moraes_2,UFC Fight Night: Assunção vs. Moraes 2,"Feb 2, 2019"
–,/wiki/UFC_233,UFC 233,"Jan 26, 2019"
464,/wiki/UFC_Fight_Night:_Cejudo_vs._Dillashaw,UFC Fight Night: Cejudo vs. Dillashaw,"Jan 19, 2019"
463,/wiki/UFC_232,UFC 232: Jones vs. Gustafsson 2,"Dec 29, 2018"
462,/wiki/UFC_on_Fox:_Lee_vs._Iaquinta_2,UFC on Fox: Lee vs. Iaquinta 2,"Dec 15, 2018"
461,/wiki/UFC_231,UFC 231: Holloway vs. Ortega,"Dec 8, 2018"
460,/wiki/UFC_Fight_Night:_dos_Santos_vs._Tuivasa,UFC Fight Night: dos Santos vs. Tuivasa,"Dec 2, 2018"
459,/wiki/The_Ultimate_Fighter:_Heavy_Hitters#The_Ultimate_Fighter_28_Finale,The Ultimate Fighter: Heavy Hitters Finale,"Nov 30, 2018"
458,/wiki/UFC_Fight_Night:_Blaydes_vs._Ngannou_2,UFC Fight Night: Blaydes vs. Ngannou 2,"Nov 24, 2018"
457,/wiki/UFC_Fight_Night:_Magny_vs._Ponzinibbio,UFC Fight Night: Magny vs. Ponzinibbio,"Nov 17, 2018"
456,/wiki/UFC_Fight_Night:_The_Korean_Zombie_vs._Rodr%C3%ADguez,UFC Fight Night: The Korean Zombie vs. Rodríguez,"Nov 10, 2018"
455,/wiki/UFC_230,UFC 230: Cormier vs. Lewis,"Nov 3, 2018"
454,/wiki/UFC_Fight_Night:_Volkan_vs._Smith,UFC Fight Night: Volkan vs. Smith,"Oct 27, 2018"
453,/wiki/UFC_229,UFC 229: Khabib vs. McGregor,"Oct 6, 2018"
452,/wiki/UFC_Fight_Night:_Santos_vs._Anders,UFC Fight Night: Santos vs. Anders,"Sep 22, 2018"
451,/wiki/UFC_Fight_Night:_Hunt_vs._Oleinik,UFC Fight Night: Hunt vs. Oleinik,"Sep 15, 2018"
450,/wiki/UFC_228,UFC 228: Woodley vs. Till,"Sep 8, 2018"
449,/wiki/UFC_Fight_Night:_Gaethje_vs._Vick,UFC Fight Night: Gaethje vs. Vick,"Aug 25, 2018"
448,/wiki/UFC_227,UFC 227: Dillashaw vs. Garbrandt 2,"Aug 4, 2018"
447,/wiki/UFC_on_Fox:_Alvarez_vs._Poirier_2,UFC on Fox: Alvarez vs. Poirier 2,"Jul 28, 2018"
446,/wiki/UFC_Fight_Night:_Shogun_vs._Smith,UFC Fight Night: Shogun vs. Smith,"Jul 22, 2018"
445,/wiki/UFC_Fight_Night:_dos_Santos_vs._Ivanov,UFC Fight Night: dos Santos vs. Ivanov,"Jul 14, 2018"
444,/wiki/UFC_226,UFC 226: Miocic vs. Cormier,"Jul 7, 2018"
443,/wiki/The_Ultimate_Fighter:_Undefeated#The_Ultimate_Fighter_27_Finale,The Ultimate Fighter: Undefeated Finale,"Jul 6, 2018"
442,/wiki/UFC_Fight_Night:_Cowboy_vs._Edwards,UFC Fight Night: Cowboy vs. Edwards,"Jun 23, 2018"
441,/wiki/UFC_225,UFC 225: Whittaker vs. Romero 2,"Jun 9, 2018"
440,/wiki/UFC_Fight_Night:_Rivera_vs._Moraes,UFC Fight Night: Rivera vs. Moraes,"Jun 1, 2018"
439,/wiki/UFC_Fight_Night:_Thompson_vs._Till,UFC Fight Night: Thompson vs. Till,"May 27, 2018"
438,/wiki/UFC_Fight_Night:_Maia_vs._Usman,UFC Fight Night: Maia vs. Usman,"May 19, 2018"
437,/wiki/UFC_224,UFC 224: Nunes vs. Pennington,"May 12, 2018"
