Number,WikiLink,Name,Date
379,/wiki/UFC_Fight_Night:_Bader_vs._Nogueira_2,UFC Fight Night: Bader vs. Nogueira 2,"Nov 19, 2016"
378,/wiki/UFC_Fight_Night:_Mousasi_vs._Hall_2,UFC Fight Night: Mousasi vs. Hall 2,"Nov 19, 2016"
297,/wiki/UFC_Fight_Night:_Shogun_vs._Saint_Preux,UFC Fight Night: Shogun vs. Saint Preux,"Nov 8, 2014"
296,/wiki/UFC_Fight_Night:_Rockhold_vs._Bisping,UFC Fight Night: Rockhold vs. Bisping,"Nov 8, 2014"
294,/wiki/UFC_Fight_Night:_MacDonald_vs._Saffiedine,UFC Fight Night: MacDonald vs. Saffiedine,"Oct 4, 2014"
293,/wiki/UFC_Fight_Night:_Nelson_vs._Story,UFC Fight Night: Nelson vs. Story,"Oct 4, 2014"
287,/wiki/UFC_Fight_Night:_Henderson_vs._dos_Anjos,UFC Fight Night: Henderson vs. dos Anjos,"Aug 23, 2014"
286,/wiki/UFC_Fight_Night:_Bisping_vs._Le,UFC Fight Night: Bisping vs. Le,"Aug 23, 2014"
279,/wiki/UFC_Fight_Night:_Swanson_vs._Stephens,UFC Fight Night: Swanson vs. Stephens,"Jun 28, 2014"
278,/wiki/UFC_Fight_Night:_Te_Huna_vs._Marquardt,UFC Fight Night: Te Huna vs. Marquardt,"Jun 28, 2014"
275,/wiki/The_Ultimate_Fighter:_Brazil_3#The_Ultimate_Fighter_Brazil_3_Finale:_Miocic_vs._Maldonado,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,"May 31, 2014"
274,/wiki/UFC_Fight_Night:_Mu%C3%B1oz_vs._Mousasi,UFC Fight Night: Muñoz vs. Mousasi,"May 31, 2014"
223,/wiki/The_Ultimate_Fighter:_Team_Carwin_vs._Team_Nelson#The_Ultimate_Fighter_16_Finale,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Dec 15, 2012"
222,/wiki/The_Ultimate_Fighter:_The_Smashes#The_Ultimate_Fighter:_The_Smashes_Finale,UFC on FX: Sotiropoulos vs. Pearson,"Dec 15, 2012"
