Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Stephen Thompson,def.,Jake Ellenberger,KO (spinning hook kick),1,4:29
Welterweight,Kamaru Usman,def.,Hayder Hassan,Submission (arm-triangle choke),2,1:19
Welterweight,Michael Graves,def.,Vicente Luque,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Jorge Masvidal,def.,Cezar Ferreira,KO (elbow and punches),1,4:22
Women's Strawweight,Michelle Waterson,def.,Angela Magaña,Submission (rear-naked choke),3,2:38
Catchweight (148.5 lbs),Maximo Blanco,def.,Mike De La Torre,TKO (punches),1,0:16
Middleweight,Josh Samman,def.,Caio Magalhães,Submission (rear-naked choke),1,2:52
Bantamweight,Jerrod Sanders,def.,Russell Doane,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Middleweight,Trevor Smith,def.,Dan Miller,"Decision (unanimous) (30–25, 30–25, 30–26)",3,5:00
Welterweight,George Sullivan,def.,Dominic Waters,"Decision (unanimous) (29–27, 30–25, 29–28)",3,5:00
Flyweight,Willie Gates,def.,Darrell Montague,TKO (knees to the body and elbows),1,1:36
