Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Diego Sanchez,def.,Joe Stevenson,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Dan Hardy,def.,Rory Markham,KO (punch),1,1:09
Middleweight,Nate Marquardt,def.,Wilson Gouveia,TKO (knee and punches),3,3:10
Middleweight,Demian Maia,def.,Chael Sonnen,Submission (triangle choke),1,2:37
Welterweight,Paulo Thiago,def.,Josh Koscheck,KO (punches),1,3:29
Lightweight,Terry Etim,def.,Brian Cobb,TKO (head kick and punches),2,0:10
Heavyweight,Junior dos Santos,def.,Stefan Struve,TKO (punches),1,0:54
Lightweight,Evan Dunham,def.,Per Eklund,KO (punches),1,2:14
Heavyweight,Mike Ciesnolevicz,def.,Neil Grove,Submission (heel hook),1,1:03
Welterweight,Paul Kelly,def.,Troy Mandaloniz,"Decision (unanimous) (30–27, 30–27, 30–28)",3,5:00
