Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (c),def.,Thales Leites,"Decision (unanimous) (49–46, 48–47, 50–46)",5,5:00
Lightweight,Sam Stout,def.,Matt Wiman,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Maurício Rua,def.,Chuck Liddell,TKO (punches),1,4:28
Light Heavyweight,Krzysztof Soszynski,def.,Brian Stann,Submission (kimura),1,3:53
Heavyweight,Cheick Kongo,def.,Antoni Hardonk,TKO (punches),2,2:29
Light Heavyweight,Luiz Cane,def.,Steve Cantwell,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Middleweight,Denis Kang,def.,Xavier Foupa-Pokam,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Nate Quarry,def.,Jason MacDonald,TKO (elbows),1,2:27
Middleweight,Ed Herman,def.,David Loiseau,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00
Lightweight,Mark Bocek,def.,David Bielkheden,Submission (rear-naked choke),1,4:57
Welterweight,TJ Grant,def.,Ryo Chonan,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
Light Heavyweight,Eliot Marshall,def.,Vinny Magalhães,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
