Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Lyoto Machida (c),def,Maurício Rua,"Decision (unanimous) (48–47, 48–47, 48–47)",5,5:00
Heavyweight,Cain Velasquez,def,Ben Rothwell,TKO (punches),2,0:58
Catchweight (157 lb),Gleison Tibau,def,Josh Neer,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Joe Stevenson,def,Spencer Fisher,Submission (strikes),2,4:03
Catchweight (176 lb),Anthony Johnson,def,Yoshiyuki Yoshida,TKO (punches),1,0:41
Light Heavyweight,Ryan Bader,def,Eric Schafer,"Decision (unanimous) (30–27, 29–26, 30–27)",3,5:00
Heavyweight,Pat Barry,def,Antoni Hardonk,TKO (punches),2,2:30
Middleweight,Chael Sonnen,def,Yushin Okami,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Jorge Rivera,def,Rob Kimmons,TKO (punches),3,1:53
Light Heavyweight,Kyle Kingsbury,def,Razak Al-Hassan,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Heavyweight,Stefan Struve,def,Chase Gormley,Submission (triangle choke),1,4:04
