Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Roy Nelson,def.,Brendan Schaub,KO (punch),1,3:45
Light Heavyweight,Matt Hamill,def.,Jon Jones,DQ (illegal downward elbows),1,4:14
Catchweight (215 lb),Kimbo Slice,def.,Houston Alexander,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Frankie Edgar,def.,Matt Veach,Submission (rear-naked choke),2,2:22
Heavyweight,Matt Mitrione,def.,Marcus Jones,KO (punches),2,0:10
Heavyweight,James McSweeney,def.,Darrill Schoonover,TKO (punches),3,3:20
Heavyweight,Jon Madsen,def.,Justin Wren,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
Light Heavyweight,Brian Stann,def.,Rodney Wallace,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Welterweight,John Howard,def.,Dennis Hallman,KO (punches),3,4:55
Lightweight,Mark Bocek,def.,Joe Brammer,Submission (rear-naked choke),1,3:36
