Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Matt Brown,def.,Erick Silva,TKO (punches),3,2:11
Middleweight,Costas Philippou,def.,Lorenz Larkin,KO (punch),1,3:47
Lightweight,Daron Cruickshank,def.,Erik Koch,TKO (head kick and punches),1,3:21
Welterweight,Neil Magny,def.,Tim Means,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Heavyweight,Soa Palelei,def.,Ruan Potts,KO (punches),1,2:20
Flyweight,Chris Cariaso,def.,Louis Smolka,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Middleweight,Ed Herman,def.,Rafael Natal,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Flyweight,Kyoji Horiguchi,def.,Darrell Montague,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Zak Cummings,def.,Yan Cabral,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Johnny Eduardo,def.,Eddie Wineland,TKO (punches),1,4:37
Featherweight,Nik Lentz,def.,Manvel Gamburyan,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Justin Salas,def.,Ben Wall,KO (punches),1,2:41
Welterweight,Albert Tumenov,def.,Anthony Lapsley,KO (punch),1,3:56
