Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Frank Mir,def.,Todd Duffee,KO (punch),1,1:13
Lightweight,Tony Ferguson,def.,Josh Thomson,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Women's Bantamweight,Holly Holm,def.,Marion Reneau,"Decision (unanimous) (30–27, 30–26, 29–28)",3,5:00
Bantamweight,Manvel Gamburyan,def.,Scott Jorgensen,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Kevin Lee,def.,James Moontasri,Submission (rear-naked choke),1,2:56
Welterweight,Alan Jouban,def.,Matt Dwyer,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00
Featherweight,Sam Sicilia,def.,Yaotzin Meza,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Women's Bantamweight,Jéssica Andrade,def.,Sarah Moras,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Rani Yahya,def.,Masanori Kanehara,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Sean Strickland,def.,Igor Araújo,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Middleweight,Kevin Casey,def.,Ildemar Alcântara,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Lyman Good,def.,Andrew Craig,KO (punches),2,3:37
