Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Glover Teixeira,def.,Ovince Saint Preux,Technical Submission (rear-naked choke),3,3:10
Lightweight,Beneil Dariush,def.,Michael Johnson,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Derek Brunson,def.,Sam Alvey,TKO (punches),1,2:19
Heavyweight,Jared Rosholt,def.,Timothy Johnson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Amanda Nunes,def.,Sara McMann,Submission (rear-naked choke),1,2:53
Catchweight (126.75 lbs),Ray Borg,def.,Geane Herrera,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Uriah Hall,def.,Oluwale Bamgbose,TKO (punches),1,2:32
Middleweight,Chris Camozzi,def.,Tom Watson,"Decision (unanimous) (29–27, 30–26, 29–27)",3,5:00
Flyweight,Dustin Ortiz,def.,Willie Gates,TKO (elbows and punches),3,2:58
Bantamweight,Frankie Saenz,def.,Sirwan Kakai,"Decision (split) (28–29, 30–27, 30–27)",3,5:00
Light Heavyweight,Jonathan Wilson,def.,Chris Dempsey,KO (punches),1,0:50
Bantamweight,Marlon Vera,def.,Roman Salazar,Submission (triangle armbar),2,2:15
Lightweight,Scott Holtzman,def.,Anthony Christodoulou,Submission (rear-naked choke),3,2:40
