Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jimi Manuwa,def.,Corey Anderson,KO (punch),1,3:05
Welterweight,Gunnar Nelson,def.,Alan Jouban,Submission (guillotine choke),2,0:46
Catchweight (140 lbs),Marlon Vera,def.,Brad Pickett,TKO (head kick and punches),3,3:50
Featherweight,Arnold Allen,def.,Makwan Amirkhani,"Decision (split) (28–29, 30–27, 30–27)",3,5:00
Lightweight,Joe Duffy,def.,Reza Madadi,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Francimar Barroso,def.,Darren Stewart,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Timothy Johnson,def.,Daniel Omielańczuk,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Welterweight,Leon Edwards,def.,Vicente Luque,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Marc Diakiese,def.,Teemu Packalen,KO (punch),1,0:30
Middleweight,Brad Scott,def.,Scott Askham,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Bantamweight,Lina Länsberg,def.,Lucie Pudilová,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
