Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Ronaldo Souza,def.,Derek Brunson,TKO (head kick and punches),1,3:50
Featherweight,Andre Fili,def.,Dennis Bermudez,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Lightweight,Gregor Gillespie,def.,Jordan Rinaldi,TKO (punches),1,4:46
Welterweight,Drew Dober,def.,Frank Camacho,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Bobby Green,def.,Erik Koch,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Mirsad Bektić,def.,Godofredo Pepey,TKO (body punch),1,2:47
Women's Flyweight,Katlyn Chookagian,def.,Mara Romero Borella,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Women's Strawweight,Randa Markos,def.,Juliana Lima,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Flyweight,Ji Yeon Kim,def.,Justine Kish,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
Lightweight,Vinc Pichel,def.,Joaquim Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Niko Price,def.,George Sullivan,Submission (rear-naked choke),2,4:21
Featherweight,Cory Sandhagen,def.,Austin Arnett,TKO (punches),2,3:48
