Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Daniel Cormier (c),def.,Derrick Lewis,Submission (rear-naked choke),2,2:14
Middleweight,Ronaldo Souza,def.,Chris Weidman,KO (punches),3,2:46
Middleweight,Jared Cannonier,def.,David Branch,TKO (punches),2,0:39
Middleweight,Karl Roberson,def.,Jack Marshman,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00
Middleweight,Israel Adesanya,def.,Derek Brunson,TKO (knees and punches),1,4:51
Featherweight,Jordan Rinaldi,def.,Jason Knight,"Decision (unanimous) (30–27, 30–25, 30–26)",3,5:00
Catchweight (127.2 lbs),Sijara Eubanks,def.,Roxanne Modafferi,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Sheymon Moraes,def.,Julio Arce,"Decision (split) (28–29, 29–28, 30–26)",3,5:00
Welterweight,Lyman Good,def.,Ben Saunders,KO (punches),1,1:32
Lightweight,Matt Frevola,vs.,Lando Vannata,"Draw (majority) (29–28, 28–28, 28–28)",3,5:00
Featherweight,Shane Burgos,def.,Kurt Holobaugh,Submission (armbar),1,2:11
Heavyweight,Marcos Rogério de Lima,def.,Adam Wieczorek,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
