Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Francis Ngannou,def.,Junior dos Santos,TKO (punches),1,1:11
Flyweight,Joseph Benavidez,def.,Jussier Formiga,TKO (head kick and punches),2,4:47
Welterweight,Demian Maia,def.,Anthony Rocco Martin,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Lightweight,Vinc Pichel,def.,Roosevelt Roberts,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Drew Dober,def.,Marco Polo Reyes,KO (punches),1,1:07
Light Heavyweight,Alonzo Menifield,def.,Paul Craig,KO (punches),1,3:19
Bantamweight,Ricardo Ramos,def.,Journey Newson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Eryk Anders,def.,Vinicius Moreira,KO (punches),1,1:18
Lightweight,Jared Gordon,def.,Dan Moret,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Light Heavyweight,Dalcha Lungiambula,def.,Dequan Townsend,TKO (punches and elbows),3,0:42
Women's Strawweight,Amanda Ribas,def.,Emily Whitmire,Submission (rear-naked choke),2,2:10
Heavyweight,Maurice Greene,def.,Júnior Albini,TKO (punches),1,3:38
