Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Jared Cannonier,def.,Jack Hermansson,TKO (punches),2,0:27
Lightweight,Mark Madsen,def.,Danilo Belluardo,TKO (punches),1,1:12
Welterweight,Gilbert Burns,def.,Gunnar Nelson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Ion Cuțelaba,def.,Khalil Rountree Jr.,TKO (elbows),1,2:35
Light Heavyweight,Ovince Saint Preux,def.,Michał Oleksiejczuk,Submission (Von Flue choke),2,2:14
Welterweight,Nicolas Dalby,def.,Alex Oliveira,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,John Phillips,def.,Alen Amedovski,KO (punches),1,0:17
Middleweight,Makhmud Muradov,def.,Alessio Di Chirico,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Ismail Naurdiev,def.,Siyar Bahadurzada,"Decision (unanimous) (30–26, 30–25, 30–25)",3,5:00
Featherweight,Giga Chikadze,def.,Brandon Davis,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Women's Bantamweight,Lina Länsberg,def.,Macy Chiasson,"Decision (unanimous) (29–27, 29–27, 29–28)",3,5:00
Lightweight,Marc Diakiese,def.,Lando Vannata,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Bantamweight,Jack Shore,def.,Nohelin Hernandez,Submission (rear-naked choke),3,2:51
