Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Dustin Poirier,def.,Justin Gaethje,TKO (punches),4,0:33
Welterweight,Alex Oliveira,def.,Carlos Condit,Submission (guillotine choke),2,3:17
Middleweight,Israel Adesanya,def.,Marvin Vettori,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Women's Strawweight,Michelle Waterson,def.,Cortney Casey,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Antônio Carlos Júnior,def.,Tim Boetsch,Submission (rear-naked choke),1,4:28
Welterweight,Muslim Salikhov,def.,Ricky Rainey,KO (punches),2,4:12
Flyweight,John Moraga,def.,Wilson Reis,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Brad Tavares,def.,Krzysztof Jotko,TKO (punches),3,2:16
Lightweight,Gilbert Burns,def.,Dan Moret,KO (punches),2,0:59
Women's Flyweight,Lauren Mueller,def.,Shana Dobson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Yushin Okami,def.,Dhiego Lima,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Heavyweight,Adam Wieczorek,def.,Arjan Bhullar,Submission (omoplata),2,1:59
Bantamweight,Alejandro Pérez,def.,Matthew Lopez,TKO (knees and punches),2,3:42
Bantamweight,Luke Sanders,def.,Patrick Williams,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
