Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Benson Henderson (c),def.,Gilbert Melendez,"Decision (split) (47–48, 48–47, 48–47)",5,5:00
Heavyweight,Daniel Cormier,def.,Frank Mir,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Josh Thomson,def.,Nate Diaz,TKO (head kick and punches),2,3:44
Welterweight,Matt Brown,def.,Jordan Mein,TKO (elbows to the body),2,1:00
Featherweight,Chad Mendes,def.,Darren Elkins,TKO (punches),1,1:08
Middleweight,Francis Carmont,def.,Lorenz Larkin,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Myles Jury,def.,Ramsey Nijem,KO (punch),2,1:02
Flyweight,Joseph Benavidez,def.,Darren Uyenoyama,TKO (body kick and punches),2,4:50
Lightweight,Jorge Masvidal,def.,Tim Means,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,T.J. Dillashaw,def.,Hugo Viana,TKO (punches),1,4:22
Lightweight,Anthony Njokuani,def.,Roger Bowling,TKO (punch),2,2:52
Middleweight,Yoel Romero,def.,Clifford Starks,KO (flying knee and punches),1,1:32
