Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,José Aldo (c),def.,Chan Sung Jung,TKO (punches),4,2:00
Light Heavyweight,Phil Davis,def.,Lyoto Machida,"Decision (unanimous)  (29–28, 29–28, 29–28)",3,5:00
Middleweight,Cezar Ferreira,def.,Thiago Santos,Submission (guillotine choke),1,0:47
Middleweight,Thales Leites,def.,Tom Watson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Catchweight (129 lbs),John Lineker,def.,José Maria Tomé,TKO (punches),2,1:03
Light Heavyweight,Anthony Perosh,def.,Vinny Magalhães,KO (punches),1,0:14
Women's Bantamweight,Amanda Nunes,def.,Sheila Gaff,TKO (elbows),1,2:08
Welterweight,Sérgio Moraes,def.,Neil Magny,Submission (triangle choke),1,3:13
Flyweight,Ian McCall,def.,Iliarde Santos,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Featherweight,Rani Yahya,def.,Josh Clopton,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Francimar Barroso,def.,Ednaldo Oliveira,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Viscardi Andrade,def.,Bristol Marunde,TKO (punches),1,1:36
