Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Rafael dos Anjos (c),def.,Donald Cerrone,TKO (body kick and punches),1,1:06
Heavyweight,Alistair Overeem,def.,Junior dos Santos,TKO (punches),2,4:43
Lightweight,Nate Diaz,def.,Michael Johnson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Strawweight,Karolina Kowalkiewicz,def.,Randa Markos,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Catchweight (150.5 lbs),Charles Oliveira,def.,Myles Jury,Submission (guillotine choke),1,3:05
Middleweight,Nate Marquardt,def.,C.B. Dollaway,KO (punch),2,0:28
Women's Bantamweight,Valentina Shevchenko,def.,Sarah Kaufman,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Middleweight,Tamdan McCrory,def.,Josh Samman,Submission (triangle choke),3,4:10
Lightweight,Nik Lentz,def.,Danny Castillo,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Featherweight,Cole Miller,vs.,Jim Alers,No Contest (accidental eye poke),2,1:44
Welterweight,Kamaru Usman,def.,Leon Edwards,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Welterweight,Vicente Luque,def.,Hayder Hassan,Technical Submission (anaconda choke),1,2:13
Heavyweight,Francis Ngannou,def.,Luis Henrique,KO (punch),2,2:53
