Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Donald Cerrone,def.,Yancy Medeiros,TKO (punches),1,4:58
Heavyweight,Derrick Lewis,def.,Marcin Tybura,TKO (punches),3,2:48
Lightweight,James Vick,def.,Francisco Trinaldo,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Curtis Millender,def.,Thiago Alves,KO (knee),2,4:17
Featherweight,Brandon Davis,def.,Steven Peterson,"Decision (unanimous) (30–27, 29–28, 30–26)",3,5:00
Lightweight,Sage Northcutt,def.,Thibault Gouti,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Carlos Diego Ferreira,def.,Jared Gordon,TKO (punches),1,1:58
Welterweight,Geoff Neal,def.,Brian Camozzi,Submission (bulldog choke),1,2:48
Flyweight,Roberto Sanchez,def.,Joby Sanchez,Submission (rear-naked choke),1,1:50
Women's Bantamweight,Lucie Pudilová,def.,Sarah Moras,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Welterweight,Alex Morono,def.,Josh Burkman,Submission (guillotine choke),1,2:12
Middleweight,Oskar Piechota,def.,Tim Williams,KO (punches),1,1:54
