Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Melvin Guillard,def.,Evan Dunham,TKO (knees),1,2:58
Heavyweight,Matt Mitrione,def.,Tim Hague,TKO (punches),1,2:59
Featherweight,Mark Hominick,def.,George Roop,TKO (punches),1,1:28
Heavyweight,Pat Barry,def.,Joey Beltran,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Matt Wiman,def.,Cole Miller,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Lightweight,Yves Edwards,def.,Cody McKenzie,Technical Submission (rear-naked choke),2,4:33
Welterweight,DaMarques Johnson,def.,Mike Guymon,Verbal Submission (body triangle),1,3:22
Featherweight,Rani Yahya,def.,Mike Brown,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Waylon Lowe,def.,Willamy Freire,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Charlie Brenneman,def.,Amilcar Alves,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Chris Cariaso,def.,Will Campuzano,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
