Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Vitor Belfort,def.,Michael Bisping,TKO (head kick and punches),2,1:27
Middleweight,C.B. Dollaway,def.,Daniel Sarafian,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Heavyweight,Gabriel Gonzaga,def.,Ben Rothwell,Submission (guillotine choke),2,1:01
Lightweight,Khabib Nurmagomedov,def.,Thiago Tavares,KO (punches and elbows),1,1:55
Featherweight,Godofredo Pepey,def.,Milton Vieira,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Middleweight,Ronny Markes,def.,Andrew Craig,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Nik Lentz,def.,Diego Nunes,"Decision (unanimous) (30–28, 30–27, 30–26)",3,5:00
Lightweight,Edson Barboza,def.,Lucas Martins,Submission (strikes),1,2:38
Bantamweight,Pedro Nobre,vs.,Iuri Alcântara,No Contest,1,2:11
Light Heavyweight,Ildemar Alcântara,def.,Wagner Prado,Submission (knee lock),2,2:39
Lightweight,Francisco Trinaldo,def.,C.J. Keith,Submission (arm-triangle choke),2,1:50
