Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Conor McGregor,def.,Chad Mendes,TKO (punches),2,4:57
Welterweight,Robbie Lawler (c),def.,Rory MacDonald,TKO (punches),5,1:00
Catchweight (149.5 lbs),Jeremy Stephens,def.,Dennis Bermudez,TKO (flying knee and punches),3,0:32
Welterweight,Gunnar Nelson,def.,Brandon Thatch,Submission (rear-naked choke),1,2:54
Bantamweight,Thomas Almeida,def.,Brad Pickett,KO (flying knee),2,0:29
Welterweight,Matt Brown,def.,Tim Means,Submission (guillotine choke),1,4:44
Welterweight,Alex Garcia,def.,Mike Swick,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00
Welterweight,John Howard,def.,Cathal Pendred,"Decision (split) (29-28, 28-29, 29-28)",3,5:00
Bantamweight,Cody Garbrandt,def.,Henry Briones,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00
Flyweight,Louis Smolka,def.,Neil Seery,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00
Lightweight,Cody Pfister,def.,Yosdenis Cedeno,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00
