Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Robert Whittaker (c),def.,Yoel Romero,"Decision (split) (47–48, 48–47, 48–47)",5,5:00
Welterweight,Colby Covington,def.,Rafael dos Anjos,"Decision (unanimous) (49–46, 48–47, 48–47)",5,5:00
Women's Featherweight,Holly Holm,def.,Megan Anderson,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
Heavyweight,Tai Tuivasa,def.,Andrei Arlovski,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Mike Jackson,def.,CM Punk,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Heavyweight,Curtis Blaydes,def.,Alistair Overeem,TKO (elbows),3,2:56
Women's Strawweight,Cláudia Gadelha,def.,Carla Esparza,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Mirsad Bektić,def.,Ricardo Lamas,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
Heavyweight,Chris de la Rocha,def.,Rashad Coulter,TKO (punches),2,3:53
Light Heavyweight,Anthony Smith,def.,Rashad Evans,KO (knee),1,0:53
Flyweight,Sergio Pettis,def.,Joseph Benavidez,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Lightweight,Charles Oliveira,def.,Clay Guida,Submission (guillotine choke),1,2:18
Featherweight,Dan Ige,def.,Mike Santiago,TKO (punches),1,0:50
