Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Rafael dos Anjos,def.,Anthony Pettis (c),"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Women's Strawweight,Joanna Jędrzejczyk,def.,Carla Esparza (c),TKO (punches),2,4:17
Welterweight,Johny Hendricks,def.,Matt Brown,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Alistair Overeem,def.,Roy Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Henry Cejudo,def.,Chris Cariaso,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Ross Pearson,def.,Sam Stout,KO (punches),2,1:33
Middleweight,Elias Theodorou,def.,Roger Narvaez,TKO (punches),2,4:07
Catchweight (157 lbs),Beneil Dariush,def.,Daron Cruickshank,Submission (rear-naked choke),2,2:48
Heavyweight,Jared Rosholt,def.,Josh Copeland,TKO (punches),3,3:12
Flyweight,Ryan Benoit,def.,Sergio Pettis,TKO (punches),2,1:34
Lightweight,Joseph Duffy,def.,Jake Lindsey,TKO (head kick and body punch),1,1:47
Women's Bantamweight,Germaine de Randamie,def.,Larissa Pacheco,TKO (punches),2,2:02
