Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Alexander Gustafsson,def.,Glover Teixeira,KO (punches),5,1:07
Light Heavyweight,Volkan Oezdemir,def.,Misha Cirkunov,KO (punch),1,0:28
Welterweight,Peter Sobotta,def.,Ben Saunders,TKO (punches and knee),2,2:29
Welterweight,Omari Akhmedov,def.,Abdul Razak Alhassan,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
Welterweight,Nordine Taleb,def.,Oliver Enkamp,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Jack Hermansson,def.,Alex Nicholson,TKO (punches),1,2:00
Bantamweight,Pedro Munhoz,def.,Damian Stasiak,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Middleweight,Trevor Smith,def.,Chris Camozzi,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
Lightweight,Joaquim Silva,def.,Reza Madadi,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Bojan Veličković,def.,Nico Musoke,KO (punches),3,4:37
Catchweight (176 lbs),Darren Till,def.,Jessin Ayari,"Decision (unanimous) (30–27, 30–27, 29–27)",3,5:00
Lightweight,Damir Hadžović,def.,Marcin Held,KO (knee),3,0:07
