Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Georges St-Pierre (c),def.,Carlos Condit (ic),"Decision (unanimous) (49–46, 50–45, 50–45)",5,5:00
Welterweight,Johny Hendricks,def.,Martin Kampmann,KO (punch),1,0:46
Middleweight,Francis Carmont,def.,Tom Lawlor,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Rafael dos Anjos,def.,Mark Bocek,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Pablo Garza,def.,Mark Hominick,"Decision (unanimous) (29–27, 30–26, 29–28)",3,5:00
Middleweight,Patrick Côté,def.,Alessio Sakara,Disqualification (punches to back of head),1,1:26
Light Heavyweight,Cyrille Diabaté,def.,Chad Griggs,Submission (rear-naked choke),1,2:24
Lightweight,John Makdessi,def.,Sam Stout,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Featherweight,Antonio Carvalho,def.,Rodrigo Damm,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Matthew Riddle,def.,John Maguire,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Ivan Menjivar,def.,Azamat Gashimov,Submission (armbar),1,2:44
Featherweight,Darren Elkins,def.,Steven Siler,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
