Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Catchweight (136.5 lbs),John Lineker,def.,John Dodson,"Decision (split) (47–48, 48–47, 48–47)",5,5:00
Catchweight (161.5 lbs),Alex Oliveira,def.,Will Brooks,KO (punches),3,3:30
Welterweight,Zak Ottow,def.,Josh Burkman,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Flyweight,Brandon Moreno,def.,Louis Smolka,Submission (guillotine choke),1,2:23
Light Heavyweight,Luis Henrique da Silva,def.,Joachim Christensen,Submission (armbar),2,4:43
Catchweight (148.5 lbs),Andre Fili,def.,Hacran Dias,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Shamil Abdurakhimov,def.,Walt Harris,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Elizeu Zaleski dos Santos,def.,Keita Nakamura,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Nate Marquardt,def.,Tamdan McCrory,KO (punch and head kick),2,4:44
Light Heavyweight,Ion Cuțelaba,def.,Jonathan Wilson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Curtis Blaydes,def.,Cody East,TKO (elbows),2,2:02
Women's Bantamweight,Ketlen Vieira,def.,Kelly Faszholz,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
