Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Josh Barnett,def.,Andrei Arlovski,Submission (rear-naked choke),3,2:53
Light Heavyweight,Alexander Gustafsson,def.,Jan Błachowicz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Ryan Bader,def.,Ilir Latifi,KO (knee),2,2:06
Lightweight,Nick Hein,def.,Tae Hyun Bang,"Decision (unanimous) (29–28, 30–28, 30–27)",3,5:00
Welterweight,Jessin Ayari,def.,Jim Wallhead,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Welterweight,Peter Sobotta,def.,Nicolas Dalby,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Women's Bantamweight,Ashlee Evans-Smith,def.,Veronica Macedo,TKO (punches and elbows),3,3:14
Bantamweight,Taylor Lapilus,def.,Leandro Issa,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Heavyweight,Jarjis Danho,vs.,Christian Colombo,"Draw (majority) (29–27, 28–28, 28–28)",3,5:00
Middleweight,Jack Hermansson,def.,Scott Askham,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Rustam Khabilov,def.,Leandro Silva,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
