Number,WikiLink,Name,Date
342,/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,11-Dec-15
326,/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,12-Jul-15
234,/wiki/UFC_on_Fox:_Henderson_vs._Melendez,UFC on Fox: Henderson vs. Melendez,20-Apr-13
225,/wiki/UFC_on_FX:_Belfort_vs._Bisping,UFC on FX: Belfort vs. Bisping,19-Jan-13
212,/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão,UFC 149: Faber vs. Barão,21-Jul-12
207,/wiki/UFC_on_FX:_Johnson_vs._McCall,UFC on FX: Johnson vs. McCall,8-Jun-12
204,/wiki/UFC_on_Fuel_TV:_Korean_Zombie_vs._Poirier,UFC on Fuel TV: Korean Zombie vs. Poirier,15-May-12
198,/wiki/UFC_on_Fuel_TV:_Sanchez_vs._Ellenberger,UFC on Fuel TV: Sanchez vs. Ellenberger,15-Feb-12
196,/wiki/UFC_on_Fox:_Evans_vs._Davis,UFC on Fox: Evans vs. Davis,28-Jan-12
87,/wiki/UFC_Fight_Night:_Stevenson_vs._Guillard#UFC_Fight_Night:_Stevenson_vs._Guillard,UFC Fight Night: Stevenson vs. Guillard,5-Apr-07
